epoch,train_loss,val_loss,val_macro_auroc,val_macro_auprc,val_macro_f1,val_MI_auroc,val_MI_auprc,val_STTC_auroc,val_STTC_auprc,val_CD_auroc,val_CD_auprc,val_HYP_auroc,val_HYP_auprc
1,0.912723940516275,0.8501519112411989,0.82817687446614,0.5371660478129948,0.5753162053358837,0.8183965672990062,0.5579663566900894,0.8563270066182688,0.5957228046030216,0.8157633063241035,0.5691369054755815,0.8222206176231812,0.42583812448328673
2,0.796580178205079,0.8024741557759976,0.8511751312793656,0.5761150041545773,0.5600051845779533,0.8405216802168022,0.6050519335567304,0.8770331496545087,0.6267812645013074,0.8398263297306331,0.6306334894255533,0.8473193655155187,0.44199332913471756
3,0.751652263130625,0.7436331635221429,0.8661807499990508,0.6401216996383848,0.5825159879448079,0.8514272809394761,0.6650553251025205,0.8944424035686172,0.6884585019214118,0.8620845963224322,0.6851427041841296,0.8567687191656779,0.5218302673454774
4,0.7244094671916764,0.7318220678819429,0.8677942563585718,0.6381500139719513,0.6131626103472289,0.8537353206865401,0.634686043627747,0.8945870141986647,0.6886615272208865,0.8662459976120938,0.7038801308515391,0.8566086929369886,0.5253723541876325
5,0.7081183028517303,0.7413971953435775,0.8684419521283807,0.6388136505145424,0.6316886043763887,0.8508197831978318,0.6386336006974505,0.8998104901017522,0.6881283644638733,0.864360682032149,0.7065531651221926,0.8587768531817899,0.5219394717746533
6,0.6951183802592829,0.7287956035465275,0.8727163791030632,0.6535834222107835,0.6285948958021867,0.8620968834688347,0.6564481598823332,0.896497273973002,0.7006041649177959,0.8647574640100711,0.7173685778822154,0.8675138949603447,0.5399127861607896
7,0.6870391696437848,0.7304832185080292,0.8729178170583288,0.6359717995480585,0.6004354549448783,0.8600711382113821,0.6359022755495499,0.9009207265517946,0.6966225818370699,0.8623887958388391,0.6901573509218595,0.8682906076312996,0.5212049898837543
8,0.6786076891057541,0.7034616179422502,0.880383839498508,0.6691252991830067,0.6141366157133633,0.8665864950316169,0.6801273113396904,0.9080882824572146,0.7130308596275354,0.8765286626884263,0.7287520538195472,0.8703319178167738,0.5545909719452538
9,0.6724688150100059,0.7154027689487562,0.8801995826083123,0.6703100599999336,0.6018658327238249,0.8694749322493225,0.6665301894494213,0.9047715676841891,0.7144901560729959,0.8761847849742271,0.7309842296375356,0.8703670455255105,0.5692356648397818
10,0.6641787331708141,0.6949833729945192,0.8834082542854034,0.6769618928665582,0.6344281794809122,0.8765819783197834,0.7003189377665179,0.9058520656578909,0.7102849321789767,0.8757423129503626,0.7315242788480432,0.8754566602135765,0.5657194226726948
