Model,AUC,PR_AUC,F1,Accuracy
CNN,0.9379535529972212,0.9214860331295021,0.7435610302351624,0.8437926330150068
XGBoost,0.9407899960301707,0.9254322193466353,0.7850267379679144,0.8628922237380627
Ensemble (α=0.5),0.9414331083763399,0.9261792278852908,0.7940865892291447,0.8669849931787176
Ensemble (α=0.15),0.9419630805875346,0.9267576899936947,0.8132094943240454,0.8765347885402456
